data,category
"Risk Analytics
",No_Label
"Previously worked in the Loss Mitigation and Customer Experience Team under Fraud Analytics Department within Risk Operations
Group for the same banking client - North American region for over three years
Part of a very dynamic work process whereby we developed Authorization Strategies for Credit Card transactions based on a mix of
fraud trends and a detailed study of customer spend pattern
End to end project management - pain point identification through strategy development to post deployment validations
",No_Label
".
",No_Label
".
",No_Label
"Handled projects on both third party and first party fraud with most recognized work coming in the face of strategies developed to
inhibit Long Fraud Run Losses (more than 36% success rate as against the average of 14%)
• Anchoring the low-risk transactions (like Chip) for getting a lead on subsequent transactions and reduce customer impacts
Account Takeover Losses (Hit Rate of more than 60% and fraud saving extrapolated to a worth of $1MM annually)
Multiple decline and approval strategies for the Travel Population reduced the Impact Rate from more than 40 bps to 28 bps with
consistently decreasing fraud rates for the approved transactions
Cross team efforts to bring down Operations Cost by more than $5MM annually by revamping the entire Travel Notification Process
on the Analytics side by evaluating the potential impact of replacing customer service executives with IVR that would limit the amount
of travel information acquired otherwise
Minutely detailed strategy for Holiday Season led to a YoY fraud saving of more than $1.5MM
Assisted in identifying new avenues to leverage the data acquired with unprecedented results through Proactive Travel Suppression
Detailed analysis on the need of multiple complex model variables to track the Customer Spend behaviour and their development
Onshore visit for conducting knowledge transfer sessions and project discussions with client leadership
Achieved outstanding results with no working leads for more than a couple of years and mentored freshers during most of the tenure
Most of the projects were handled predominantly on SAS, SQL and Excel. Also, have exposure working on SAS Rule Engine
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"PROFESSIONAL AWARDS
",No_Label
"• Promising Newcomer of the Year Award - 2016
Shining Star of the Quarter Award - 2017 Q4
Achiever of the Year Award - 2018
",No_Label
".
",No_Label
".
",No_Label
"INTERNSHIP AND PROJECT WORK
",No_Label
".
",No_Label
"Final Year Project - Retrofitted a manually operated milling machine to make it semi-automatic, increasing the safety factor and
dramatically increasing the accuracy with acute saving in cycle time and overall cost reduction
Attended a training program on Vehicle Dynamics organized by SAE, India at Pune
Underwent a training program at Kirloskar Brothers Limited on turbines and pump servicing at Kirloskar, Maharashtra
Had been an intern in 'Shri Satya Sai Engineers Pvt. Ltd., Vadodara' for a duration of 15 days and got worthy exposure to the CNC
machines and Powder Coating Processes
Served as an intern in Vinayak Transmission Pvt. Ltd. for a month in May 14' and was shouldered with the responsibility of drafting
engineering drawings
",No_Label
"Year of
Passing
",No_Label
"ACADEMIC CREDENTIALS
",No_Label
"Examination
",No_Label
"Institution and University/Board
",No_Label
"Score
",No_Label
"April 2015
",Education
"B. Tech
Mechanical
",Education
"Sardar Patel College of Engineering
Autonomous Institute affiliated with Mumbai University
",Education
"8.31/10
",Education
"February 2011
",Education
"H.S.C.
",Education
"Mithibai College - Maharashtra State Board
",Education
"86.83%
",Education
"March 2009
",Education
"S.S.C.
",Education
"St. Mary's School - Maharashtra State Board
",Education
"93.53%
",Education
"EXTRA AND CO-CURRICULARS
",No_Label
".
",No_Label
".
",No_Label
"Executive Head of the first ever technical festival college and had an excellent talked about kick off year
Elected as the Co-Head of the Mechanical Engineering Students Association and organized number of educ activities,
industrial visits and tour for the whole department
Had been the Head Boy of the school and had a well appreciated year
Was a part of the Robotics Team for the past year and a half and gained valuable experience in the technical field of robotics and
automation. The SPCE Robotics Team was ranked 13th in 2012 competition at the national level.
The Administrative Head of Sardar Patel Automation and Robotics Klub' (SPARK) committee
Part of the BAJA team for the competition in the year 2014
Won more than 30 certificates in various co-curricular activities like Science Project at school and inter - school level
Captained the school cricket team, was also part of the football team and had a good run with both
Organized Marrow Donor Registry Camp in association with M.D.R.I.
Participated and organized numerous Blood Donation Camps
",No_Label
".
",No_Label
".
",No_Label
"KAJAL SANCHETI
",Personal
"ABOUT ME
HR MANAGER with 15+ years of experience flawless
preparation of presentations, preparing facility reports
and maintaining the utmost confidentiality.
Looking to leverage my knowledge and experience
into a role as Human Resource Manager.
",No_Label
"PROFESSIONAL EXPERIENCE
• PARLE AGENCY (2000-2001)
• PC DOCTOR (2001-2003)
•CA BANTHIYA (2003-2004)
• IDEA CELLULARS (2004-2006)
HDFC LIFE INSURANCE (2006-2007)
• SAMADHAN FINANCE (2010-2011)
• KHAMLA AUTOMOBILES (2015 -2016)
•VASANT PHARMA (2016 to August 2017)
• KARAN KOTHARI JEWELLERS PVT LTD, (till date)
",No_Label
"EDUCATION
S.S.C 2000 MAHARASHTRA BOARD
H.S.C 2002 MAHARASHTRA BOARD
B.COM 2005 PUNE UNIVERSITY
PGDM 2018 SYMBIOSIS CENTER FOR DISTANCE
LEARNING, PUNE (Persuing)
",Education
"WORK AREA
• Human Resources Management
• Hiring / Recruitment / Induction
• Developing Standards of Company
• Foster Teamwork
• Management Proficiency
• Managing Profitability
• Promoting Process SOP's
• Building Relationships
• Organizational Astuteness
• Developing People Skills
• Retaining Employees For Betterment
• Targets & Rewards
• Administration & Operations
• Employee Engagement Activities
",No_Label
"SKILLS & INTERESTS
Self-motivated, hardworking and goal-oriented
with a high degree of flexibility, creativity,
• Resourcefulness, commitment and optimistic
• Good communication skills, verbal as well as written
coupled with good presentation skills.
• An effective team player with good planning and
execution skills coupled with a systematic approach
and quick adaptability.
",No_Label
"LANGUAGES
English
Marathi
Hindi
Marwadi
",Personal
"MANISH NAGAR, NAGPUR -440015.
",Personal
"kajal.sancheti@gmail.com 9511962404
",Personal
"TIIN
",No_Label
"WORK EXPERIENCE
",No_Label
"NEHA NALLARI
",Personal
".
",No_Label
"nehanallari0204@gmail.com
",Personal
".
",No_Label
"08919085622
",Personal
"Maiora IT Services & Consulting
HR Executive (Dec 2019 - Till Now)
Job Responsibilities:
Sourcing candidates through Job Portals like Naukri.com and
passive sourcing of candidates through LinkedIn.
Sourcing candidates using Boolean strings.
Screening and Shortlisting candidates based on the skills and
areas that are required for the positions.
Working on IT Positions of Clients Requirement.
Handling Client requirements and coordinating with them
end - end recruitment.
Handling HR Operations (Attendance for Stand-up Meetings,
One-One Meetings)
Worked on HR Policies of the Company.
Have worked on the Job Description.
Have been a part and worked on the ISO Documents.
Worked on Employee Engagement Activity.
Working on Internal Hiring (end-end recruitment).
",Work_Experience
".
",No_Label
".
",No_Label
"in
",No_Label
"LINKEDIN URL
",No_Label
".
",No_Label
".
",No_Label
"http://www.linkedin.com/in/neha
-nallari-25684814b
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"OBJECTIVE
",No_Label
"-
",No_Label
"To pursue a challenging career
in the HR domain in a reputed
organization which provides
room to actualize my potential
and enhance my skills while
working towards the
organization goals. I firmly
believe that challenges
channelize growth and growth
is synonymous with success.
",No_Label
"IPlace India Pvt. Ltd
Associate Recruiter (May2019 - August 2019)
Job Responsibilities:
Handling recruiting process from sourcing to recruiting
for different employment types including W2, Corp-to-Corp, 1099 for U.S. Citizens, GC, H1-B, TN-1, and EAD
holders.
Hands-on experience with software's like Applicant
Tracking Systems (ATS), Bullhorn and CATS.
Handled IT recruitment for various domains.
Searching and shortlisting candidates from job boards
using Boolean Strings.
",Work_Experience
".
",No_Label
".
",No_Label
".
",No_Label
"K
",No_Label
"-אחIIII
",No_Label
"2
",No_Label
".
",No_Label
"Worked closely and assisted senior team members.
Compile concise and error free weekly reports
",No_Label
"SKILLS
",No_Label
".
",No_Label
"INTERNSHIP EXPERIENCE
",No_Label
"Strong Negotiation skills
Patience and
perseverance
Problem solving ability
Good Communication
Skills
Microsoft Office -
Word, Advance Excel,
Power Point
",Skills
".
",No_Label
"Completed a two-month Summer Internship program at Ogilvy
& Mather, Mumbai. As part of the internship, I worked on a
project, 'Employee Life Cycle' which covered the entire gamut
of an employee's tenure in an Organization, from Recruitment
to the Exit interview.
As part of the internship, I was also given an opportunity to be
part of the Candidate Selection process and the Onboarding
process.
I have also worked on Offer Letters, Appointment Letters,
Confirmation Letters and MRF forms.
",No_Label
"EXTRA CURRICURAL
ACTIVITIES
",No_Label
"CERTIFICATION COURSES
",No_Label
"• Participated in the
Inter College Football
competition
organized by the
college and our team
won the trophy.
• Participated in Essay
competitions in
school.
",No_Label
".
",No_Label
".
",No_Label
"Completed Managing Employee Compensation
Certification by Coursera with 86%.
Pursuing Managing Employee Performance Course at
Coursera.
Pursuing Preparing to Manage Human Resources at
Coursera.
Completed Tech Recruiter Certification from Hirist.com.
Certificate of participation in a Global Immersion
Program at Nanyang Technological University, Singapore
",No_Label
".
",No_Label
".
",No_Label
"• Participated in
Painting competition
and cultural
events organized by
the school.
",No_Label
"יוון
",No_Label
"X/
",No_Label
"2
",No_Label
"TIIN
",No_Label
"EDUCATION
",No_Label
".
",No_Label
"MBA HR the MIT School of Business, Pune.
Passed BA from Osmania University with 70 % in
the year 2017.
Passed Intermediate from Telangana Board with
74% in the year 2013.
Passed SSC from Andhra Pradesh Board with 65%
in the year 2011.
",Education
".
",No_Label
"VOLUNTEER EXPERIENCE
",No_Label
"Was part of the Rural program organized by the
college.
Was a member of National Social Service during
Graduation. Participated in several events
organized by and coordinated by the college.
The most significant participation was
volunteering for the Special Olympics event
organized at Hyderabad for Special Children.
",No_Label
"נשעןII
",No_Label
"I
",No_Label
"3
",No_Label
"Aayushi Saxena
",Personal
"SA
",No_Label
"SAFe
5
",No_Label
"Senior Consultant, Deloitte USI
Address Gurgaon, India
Phone +91 8779493227
E-mail aayushisaxena2015@gmail.com
",Personal
"7.5 years of work experience on project deliveries of various sizes with expertise in Data Analysis, Data Cleansing, Exploratory
Data Analysis (EDA), Machine learning algorithms and Analytics.
• Designed, developed and deployed visually appealing dashboards using Spoffire, Tableau and Cognos Business Intelligence
suite (Framework Manager and Report Studio)
Excellent knowledge of Machine Learning lifecycle - Data Cleansing, EDA, feature engineering, scaling, imputations, training,
validation and scoring metrics
• Strong Model building skills using Machine learning techniques like Linear Regression, Logistic Regression, Naïve Bayes,
Decision Tree, Support Vector Machines, Ensemble techniques, etc
Hands on experience on programming languages like Python and R.
Performed data extraction and manipulation over large data sets using SQL.
Delivered multiple projects in Healthcare, Insurance and Oil & Gas sectors.
Engaged in client interaction with clients from different domains and geographical locations.
Certified Scaled Agile Framework (SAFe) 5 Agilist
",No_Label
".
",No_Label
"Skills
",No_Label
"Data Analysis and Visualization
Python
Tableau
Cognos BI
Spotfire
Data Warehousing
Microsoft SQL Server
",Skills
"Machine Learning
Linear regression
Logistic Regression
Text Mining
Natural Language Processing (NLP)
PI Asset Framework
",Skills
"Data Science Projects
",No_Label
"Predictive Analytics of Failure of Heat Exchangers
Hedge Fund – Predicting Alpha signal using microblogging data
Customer Churn Analysis
Taxi Fare Prediction
",No_Label
"Work History
",No_Label
"Jan 2017 -
Current
",Work_Experience
"Senior Consultant
Deloitte Consulting US India, Gurgaon, Haryana
Industry: Health Care, Insurance
Roles: Data Analyst, Visualization Team Lead and Developer
Key Responsibilities:
Exploratory Data Analysis (EDA) and Data Cleansing of structured and unstructured data
Developed predictive models using Machine Learning algorithms for internal business
",Work_Experience
".
",No_Label
".
",No_Label
".
",No_Label
"performance
Development of Dashboards on Spotfire, Tableau and Cognos Analytics
Data Modelling using Cognos Framework Manager
Data Analysis on Python using Numpy, Pandas, Matploflib, Seaborn, Plotly, etc
Analysing data flow from source file layer to the Dataware house
Effort Estimation and resource allocation
Tools Used: Spoffire, Python 3.6, R, Tableau 10, Cognos 11, DataStage, DB2
",No_Label
".
",No_Label
"Nov 2015 -
",No_Label
"Finance Systems Analyst
Prudential Process Management Services, Mumbai, Maharashtra
Industry: Finance Role: Dashboard and Reports Developer
Key Responsibilities:
Creation and maintenance of finance expense dashboards by working closely with UK stakeholders
using Cognos Report Studio and BOARD
Interact with users to understand the business requirements and expectations
Create dimensionally modelled relational (DMR) packages in Framework Manager
Develop, maintain and manage expense budgeting and expense planning system modules
Provide single point of Data Warehousing (EDW/DataMart) expertise
Tools Used: Cognos Bl Version 10.1, Cognos Planning Version 10.1, BOARD, TOAD
",Work_Experience
"Dec 2016
",No_Label
".
",No_Label
".
",No_Label
"Oct 2012 -
Nov 2015
",No_Label
"Systems Engineer
Tata Consultancy Services, Mumbai, Maharashtra
Industry: Financial Services Role: Developer
Key Responsibilities:
Design and creation of Dimensionally modelled relational (DMR) packages
Usage of JavaScript and CSS in HTML Items to enhance the interactivity of reports
Excessive use of Drill Down and Drill Through functionalities
Development and deployment of multi-dimensional Reports
Design and schedule triggers for running email batches on regular basis using Cognos Event studio
",Work_Experience
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"SAFe (Scaled Agile Framework) 5 Agilist
PGP in Data Science - INSOFE
IBM Certified Designer - Cognos 10 BI Reports
",No_Label
"Certifications
",No_Label
"Education
",No_Label
"Bachelor of Technology - EEE
Pondicherry University
",Education
"Accomplishments
",No_Label
"Promoted to Senior Consultant 1 year ahead of track
Awarded with multiple Applause awards for accomplishing hard to deliver projects within the deadlines
Received 'Superstar Developer' award for completing challenging deliverables within aggressive timeline with
minimal defects
",No_Label
"JYOTSHNA K. PATEL
E-mail: jyostnapatel02@gmail.com
Phone: +91-9987916764
",Personal
"Result-driven professional with a verifiable track record targeting critical assignments in Corporate
Actions/Custodian/Asset Management/Investment Banking with an organization of repute
",No_Label
"CORE COMPETENCIES
",No_Label
"Location Preference: Mumbai/Overseas
",No_Label
"PROFILE SUMMARY
",No_Label
"SWIFT Processing & creating -
MT564/65/66/68/99
",Skills
"Investment Banking
",Skills
"Reconciliation & settlement
",Skills
"Capital/Income events Research &
processing
",Skills
".
",No_Label
".
",No_Label
"Voluntary events response
Management
",Skills
"Successfully migrated one of the critical process – Voluntary Corporate
Action Research process based on Quincy.
Migrated entire AU and NZ Local custody process from Chennai to
Mumbai location and effectively created dual office model.
Handling Mumbai based APAC team of five people.
Connect with management & client to ensure there are no roadblocks
in migrating the operations.
Review and verifying SWIFT received from sub custodians, Middle
Office custodians, data Vendors and releasing CA notification to
various processing teams & clients.
As per CA notice client elect their response on that voluntary CA event
we're responsible for correct MAP options.
Check and verify CA announcement available in stock exchange and
required to confirm API with State Street legal team and notify to
clients accordingly.
Check for Qualified Institutional Buyer and advising to sub for account
openings.
Cross mail to sub if variance Data received from other sub custodians.
Process event as per market vise specification given in the SOP
Servicing Corporate Action Trades & resolving queries with critical &
sensitive client of State Street Corporation. These clients are the
world's largest asset managers & providers of leading ETFs across the
globe.
Carry out core and complex processing activities in accordance with
established procedures of the Corporate Action team
Working in a team which services clients with multiple deadlines.
Experienced in On boarding new clients & new business in Custody
Corporate Actions
Sending Monthly KPI reports to oversight and discuss same on Monthly
call. Share weekly process updates/improvements to oversight via call.
Successfully completed on boarding transition of new incoming clients
ensure to complete end to end transition from sourcing resources and
access raising to going live.
Train new comers on the product knowledge and process knowledge
while also providing support during their hands on phase.
",No_Label
"KPI reports
",Skills
"Process Improvement/Risk Reduction
",Skills
"Association of Chartered Certified Accountants (ACCA)
Institute of Chartered Accountants of India (ICAI)
Symbiosis International University
Symbiosis International University
",No_Label
"59%
54%
First Class
81.33%
",No_Label
".
",No_Label
".
",No_Label
"Markit India Services Pvt. Ltd. as Associate (Oct'2008 -Aug2010)
",Work_Experience
"Financial research and reporting on U.S. Municipalities bonds annual report filings.
Research on the Balance Sheet, Income statement and Cash Flow data of U.S. Municipalities.
Preparation of US GAAP Municipal financial reports for Submission to Bloomberg on Bloomberg Terminal.
Variance analysis of income statement and cash flow line items with different parameters and reporting the
exceptional variance to the concerned team.
Prepare Balance sheet reconciliation & resolve open item issue
Submitted Lean ideas and work on continuous improvement on existing deliverables to avoid manual intervention;
",No_Label
".
",No_Label
".
",No_Label
"Core Competencies:
Adeptly handling Reuters 3000 Xtra Software for comprehensive information;
Examine company's information by analyzing various documents and financial statements like 10-Q/10-K and
interim 8K report, and prospectus(424B2);
Managing a team of 3 analysts working on RED project and coordinating the work between team members and the
clients;
Ensuring that financial information is presented clearly, consistently and on time involving resolving queries and
database management;
Leading, mentoring & monitoring the performance of team members to ensure efficiency in process operations and
meeting of individual & group targets;
",No_Label
".
",No_Label
".
",No_Label
"Highlights:
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"Received client appreciation from Entity controller for handling new project independently and delivering on time.
Successfully reduce 1 FTE by finding the major areas where Robotics can be implemented and helped RPA team in
successful transition,
Received 'The Best Team Member' award for meeting client target.
Received certification for ‘Best Pragati Idea' in Wipro which reduced the cost for transport.
Successfully complete the 'Continuous Improvement Project' which involved automation saved the cost of 1
FTE.
Successfully implemented ideas to increase productivity and reduce error in the process which are appreciated by
senior management and client in Wipro.
Rewarded by ‘Performance Bonus' for key role play during index rollover in Markit.
",No_Label
".
",No_Label
".
",No_Label
"ACADEMIC CREDENTIALS
",No_Label
"2008
2008
2005
2002
2000
",Education
"PGDM
M.Com
B.Com
XII
X
",Education
"Institute of Marketing & Management
M.S University.T.N (Private)
D. A. V. (P. G.) College, Dehradun
ISC Board
ICSE Board
",Education
"IT SKILLS
",No_Label
"Knowing Office Package: Microsoft Word, Microsoft Excel, Microsoft PowerPoint and Microsoft Outlook Express.
PERSONAL DOSSIERE
",Skills
"Date of Birth
Marital Status
Languages known
Interests and Hobbies
",No_Label
": 18th July
: Married
: English & Hindi
: Driving
",Personal
"Nazmeen Amin Chowhan
Experienced & Professional
",Personal
"+919890082941
Nazmeen_85@hotmail.com
Pune, India
",Personal
"A Versatile, widely experienced and self- driven professional with proven abilities and 15 years of experience in
Resource Management, Workforce Planning and Business Management. Proven track record of successfully
managing varying size and complexity. Recognised for excellent managing stakeholder and coordinating key
initiatives across diverse cultures. My strong interpersonal and communications skills allow me to implement robust
processes while managing large numbers of stakeholders and building a wide network.
",No_Label
"My strengths include exceptional relationship management skills, leadership capabilities, change management,
ability to recognise continuous improvement opportunities and developing stakeholder focus and service
attributes. It is through the practical experience of implementing these capabilities within large complex business
structures that I have developed the knowledge and skills to be able to assist organisations in their business growth
and improvement initiatives. Keen to meet new challenges, and advance company goals and opportunities in senior
management roles. Ability to handle multiple tasks and projects while working under time and resource pressure.
Results oriented with proven success in large scale initiatives and organizations. Excels in dynamic, fast-paced,
demanding environments focused on achieving business outcomes and problem solving.
",No_Label
"Expertise & Critical Contributions
",No_Label
"Financial Planning & Analysis
Stakeholder Management
Vendor Management
Forecasting / Budgeting
",Skills
"Reporting and Analytics
Occupancy Management
Workforce Management
Oversight of Vendor Engagements
",Skills
"UBS, Pune, India
",Work_Experience
"Nominated for Finance Leadership Program and Emerging Women Leaders Program in UBS
Core committee member of D&I working group of People Committee
Part of the India Managing Committee for Group Finance
India BM Lead for Project Golden- insourcing of 500 vendor resources in Group Finance
Awarded with “Values Award” for Excellence.
",No_Label
"Jan 2019 Onwards
",Work_Experience
"Associate Director | Business Manager – FAC India | Group Finance | Reporting to Executive Director
Provide service excellence & business support that includes Workforce management, Financial planning and
Analysis and Location strategy by proactively identifying, reconciling and escalating expenses vs budget issues
Member of the CoE team that now provides ongoing services to 93% of Group Finance. Responsible for
managing the cost allocation and handling business queries
Actively Identify improvement areas internally as well as coordinate closely with all internal stakeholders to
prepare solutions.
Improving forecast accuracy and gaining more consistency in Financial commentaries
",Work_Experience
"https://www.linkedin.com/in/nazmeen-chowhan-60369aa/
",No_Label
"Understand the cost drivers within cost base to provide insight to management by managing the in-year
Operating Plan and 3 Year Strategic Plan
Continuous improvement of BM processes by closely working with other regional BMs, resulting in more
accurate, predictable and transparent financial forecasts incl. customized Ml for the SL Leads following a needs
analysis and an ongoing dialogue
Engage with the senior leaders to understand the business direction, financial forecast and ultimately meet the
resourcing demands of their pipeline.
Close coordination with recruitment team in Campus hiring & Internship programs and focus on Diversity hiring
drives with follow-up exercise on smooth on-boarding and integration in company-wide culture of these new
hires.
Setting up FAC BMs Global Forum to improve communication and jointly work on processes enhancement and
standardization
Working with transitions for tracking and reporting new roles, along with its budget planning
Comprehensive coordination of the Activity Survey for FAC which result in billing key updates
Approver for organization & cost center management to ensure correct hierarchy and OU structure with the
right LM alignment
Definition & execution of Target Operating Model
Account Line Management - gaining more visibility/ownership in certain cost categories (T&E, Consulting,
Contractors, licensing) with particular focus on high-cost areas
Develop & maintain collaborative working relationships with partner teams including Finance, COO, HR,
Program Managers
Accomplishing several Audit Readiness initiatives incl. establishing BM CoE Governance and other SOPs
Setting up FAC BMs Global Forum to improve communication and jointly work on processes enhancement and
standardization
Sustainable service maintained despite of difficulties caused by the COVID-19 lockdown.
Review Group Policies and provide updates to India Managing Committee
",No_Label
"62%
",No_Label
"SSC Board
",No_Label
"ORGANIZATIONAL EXPERIENCE
",No_Label
"From
",No_Label
"To
",No_Label
"S.No Employer Name
3 BNP Paribas
2 State Street Syntel Services Pvt Ltd
1 Datamatics Global Services
Key Result Areas:
",No_Label
"17 June 2019
17 June 2015
19 February 2014
",No_Label
"Till date
14 June 2019
16 June 2015
",No_Label
"Designation
Senior Associate
Senior Associate
Executive
",No_Label
".
",No_Label
".
",No_Label
"At BNP Paribas
Absolute perfection while processing/settling payments in Acetp
Giving training to new comers and also cross trained to other market Account managers
Have a keen eye for details & ensure no event/key details pertaining to an event is missed out while sourcing market
announcement. Completion of Instruction processing mandatorily by the cut-off time prescribed.
Ability to understand & analyze an issue (Process specific or otherwise) and inform to the respective team in-case of
any discrepancy.
Processing critical activities such as Rapid Events, MIT dividend payments, NZ Tax process.
Information Classification: General
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"Ability to decipher complex events and proceed with processing the same after sharing the finer details with
subordinates
Strive for improvement in existing/new domains. Trying (Suggestion) & implement process improvements.
Resolving all the income and payment queries and ensure all the payments has been clear
Responds to all emails in a prompt (within 30-45 mins) & efficient manner without repeated follow ups from the seniors.
takes ownership of the team mailbox by responding to/notifying the concerned person as appropriate.
Analyzing & resolving recon breaks/identify possible gaps that exist due to a recon break & reallocate the same to the
appropriate team as the case may be.
Ensuring the EOD checklist is completed methodically & not in one shot at the end of the day.
Familiar with the SLA agreed between GSO and respective spoke location. Performing the tasks assigned as defined in
procedure document. Adhering to the timelines prescribed for completion of checklists and controls.
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"At State Street Syntel Services Pvt. Ltd.
Send Voluntary CA events notification to various clients and CA processing team as per MT564 & MT568 swift message
received from various sub custodians & Vendors. (TLKS, IDC, Middle office swifts)
Analyzing and interpreting corporate actions event announced in market as a custodian and monitoring the event till its
effective date for processing & settlement.
Processing all types of corporate actions on funds of clients serviced by State Street Corporation such as Reverse Splits,
Merger, Cash Mergers, Class action, Bonus, DRIP, Rights Issue & Exercise, Calls, PINK, and Name Changes and so on.
Processing complex voluntary corporate action events with multiple entitlements, ensuring proper cost allocation and
Market value impact after and before fund processing.
Escalating any open trade or corporate action break with respective team such as middle office, pricing, FA, IT to avoid the
same getting converted to an ageing stock or cash recon break.
Advising FA & Pricing team about any non processing of mandatory corporate actions on the same day so that the pricing
team can properly stale the price of the security at the prior day price to avoid any incorrect valuation of NAV for the funds
involved.
Initiated multiple initiatives to reduce errors & risk in the process, which may affect the KPI for the team & to the end
client as well.
Reconcile Custody VS Accounting trades/ FUNDS on state street books vs Custodian/Middle office custodian books. Cross
verify payments received from client Subs.
",No_Label
".
",No_Label
".
",No_Label
".
",No_Label
"ооооо
",No_Label
"Received the following awards:
Syntel Titan Awards for outstanding performance
Syntel Value Award for displaying company values while performing daily BAU & dealing with onshore
Performance Converge Award for successive excellence performance in a quarter
Syntel EBRS Gratitude Award for engaged behavior towards clients
Many SPOT awards from TLs & Managers for showing outstanding performance on particular day.
",No_Label
".
",No_Label
":
",No_Label
"At Datamatics Global Services Pvt Ltd.
Project - Deal Updating Moody' Waterfall : The project models the number Mortgage deals issued by various financial
institutions for the life of those deals which will enable Moody's to create the library of such deals in order to monitor and
analyze them for credit rating purpose throughout the life of those deals.
Capturing the basic data at the inception of the deal relating to the subprime loans that have been securitized.
Coding the various condition of the deal provided in the prospectus regarding waterfall of interest, principal, loan, excess
and all other condition.
statements and data modeling to establish normative profiles across world as a client
",No_Label
".
",No_Label
"ACADEMIC DETAILS
",No_Label
"College
Mithibai College
Mithibai College
Maharashtra board
",Education
"Name of Degree
BCom
HSC
",Education
"Month/ Year of Passing
June 2012
",Education
"% of Marks Obtained
68.14
64.83
",Education
"June 2009
",Education
"June 2007
",Education
"78.76
",Education
"SSC
",Education
"IT/APPLICATION
",No_Label
".
",No_Label
"Microsoft Office Suite (Excel, Word, PowerPoint)
Bloomberg Terminal
FTS, IDC, MCH, RKS, GCAS, MDS, SFW, Acetp, Austaclear, Inchess
PERSONAL DETAILS
",Skills
".
",No_Label
"Date of Birth:
10th June, 1992
Address:
Room No 5, Manav mandir chs, Sector 1, Charkop, Kandivali – West, Mumbai – 400067
Signature: Jyotshna K Patel
dtd:
Information Classification: General
",Personal
"LEENA NAIR
",Personal
"11 B, Dhanalaxmi Society, Anandnagar, Sinhagad Road, Pune: 51 · Mobile: +919850982132
Email: leenanair135@gmail.com · LinkedIn: www.linkedin.com/in/leena-nair-89a32936
",Personal
"I have 17+ years of experience in building and running lean global operations that are world-class.
In my current role, I have experience in setting up the India office for Zocdoc - a healthcare IT company and
building and scaling all of its global departments in India. My role requires me to collaborate across locations with
the C-Suite and leadership of every department. Currently, the Sales, Operations, Analytics, Marketing, Tech,
Controllership, People, PMO, and Communications departments directly or indirectly report into me.
In the past, I have experience leading functions in BFSI, Marketing, and Utilities domains in the IT enabled sector. I
have worked with clients from the US, UK, Europe, Asia, and Australia.
",No_Label
"EXPERIENCE
",No_Label
"AUG 2019 - CURRENT
HEAD OF INDIA OPERATIONS AND STRATEGY, ZOCDOC INDIA
",Work_Experience
"As the Head of India Operations and Strategy, I am responsible for building and driving a global strategy for
India that is aligned with the company goals and every individual department in the US. As the senior most
leader of our India office, I am responsible for the location's vision, OKRs, budgeting, infrastructure,
engagement and culture.
",No_Label
"Achievements:
India Vision and Strategy, Impact on Bottom Line: Created and implemented a 360-degree vision
for the Pune office and India location that has given the company exceptional leverage in scale
and cost especially during 2020 (Covid times). Over the last 8 to 9 years, the Pune/India office has
been responsible for saving the company more than 350 million USD, a significant amount for an
org, our size.
Top Line Impact: In the past 2 years the India Office has evolved to directly impacting the top line
for the company through projects in Sales, Product, and Automation that impact revenue of ~5
million USD and counting.
Culture and Engagement: The India office engagement in the last temperature check was 93%
compared to a company-wide 77%. Even in a virtual set up, our Diversity and Inclusion
temperature check score was again 90+ compared to the companywide 74%. This can be
attributed to the leadership development strategy, the top down culture & engagement
approach, and the various diversity friendly policies that I have spearheaded for the India office.
Automation Strategy: Built, got buy-in for and have in-process an automation strategy for all
projects sent to India. In the last few years, these projects have been responsible for ~10 million
USD in cost savings and counting.
Flexible Resourcing: Ideated and built a flexible resourcing plan providing versatile talent that can
be ramped up and down with ease as per business needs. This includes freelancers, consultants,
and FTEs that work 24*7 from home and office across all departments in the company including
Marketing, Sales, Content and SEO, Product, Data Operations, Recruitment and many others.
Leadership Bench: Built and scaled a world class leadership bench at par with our leaders in NY
and PHX with exceptionally nuanced skills and focused on capitalizing their key strengths.
Project Swimlane: Ideated, initiated and sponsored project Swimlane which focused on
streamlining provider onboarding processes (one of the primary business pillars) and swimlanes
for all involved departments and make the processes automation-ready. This initiative improved
",No_Label
".
",No_Label
"the Sales and Customer success team's capacity by 20% and has had a significant impact on the
company's top and bottom line.
Engineering and Product in India: Successfully established a strategic Tech Org - Engineering,
Product, QA Engineering and Automation in India. This initiative has failed twice in the past under
previous leadership.
",No_Label
"JULY 2012 - AUG 2019
DIRECTOR - CLIENT OPERATIONS/PROVIDER DATA OPERATIONS, ZOCDOC INDIA
MAR 2016 – AUG 2017: SR. MANAGER, CLIENT OPERATIONS
JULY 2012 - MAR 2016: MANAGER, DATA OPERATIONS
",Work_Experience
